,id,optimizing_algo,loss_function,dropout_rate,batch_size,epochs,accuracy,MAE,F1
0,1,adam,mae,0.1,64,20,0.51,0.49,0.6
1,2,sgd,mae,0.05,64,20,0.537560976,0.462439024,0.699238579
2,3,adam,mae,0.1,64,20,0.507317073,0.492682927,0.566523605
3,4,adagrad,mae,0.05,64,20,0.537560976,0.462439024,0.699238579
4,5,adamax,binary_focal_crossentropy,0.1,64,20,0.514146341,0.485853659,0.511764706
5,6,sgd,binary_focal_crossentropy,0.1,64,20,0.566829268,0.433170732,0.628140704
6,7,adam,binary_focal_crossentropy,0.15,64,20,0.507317073,0.492682927,0.563526361
7,8,adagrad,mae,0.1,64,20,0.539512195,0.460487805,0.697435897
8,9,adamax,binary_focal_crossentropy,0.15,64,20,0.536585366,0.463414634,0.585876199
9,10,sgd,binary_crossentropy,0.15,64,20,0.517073171,0.482926829,0.546287809
10,11,adam,binary_crossentropy,0.2,64,20,0.509268293,0.490731707,0.525918944
11,12,adagrad,hinge,0.2,64,20,0.537560976,0.462439024,0.699238579
12,13,adamax,binary_crossentropy,0.15,64,20,0.501463415,0.498536585,0.54334227
13,14,sgd,hinge,0.2,64,20,0.537560976,0.462439024,0.699238579
14,15,adam,hinge,0.05,64,20,0.494634146,0.505365854,0.584935897
15,16,adagrad,hinge,0.05,64,20,0.537560976,0.462439024,0.699238579
16,17,adamax,binary_crossentropy,0.2,64,20,0.533658537,0.466341463,0.64167916
17,18,sgd,mae,0.05,64,30,0.537560976,0.462439024,0.699238579
18,19,adam,mae,0.1,64,30,0.504390244,0.495609756,0.619190405
19,20,adagrad,mae,0.05,64,30,0.535609756,0.464390244,0.661450925
20,21,adamax,binary_focal_crossentropy,0.1,64,30,0.48195122,0.51804878,0.542635659
21,22,sgd,binary_focal_crossentropy,0.1,64,30,0.501463415,0.498536585,0.574521232
22,23,adam,binary_focal_crossentropy,0.15,64,30,0.51804878,0.48195122,0.560498221
23,24,adagrad,mae,0.1,64,30,0.537560976,0.462439024,0.699238579
24,25,adamax,binary_focal_crossentropy,0.15,64,30,0.525853659,0.474146341,0.539772727
25,26,sgd,binary_crossentropy,0.15,64,30,0.529756098,0.470243902,0.545283019
26,27,adam,binary_crossentropy,0.2,64,30,0.524878049,0.475121951,0.599835661
27,28,adagrad,hinge,0.2,64,30,0.537560976,0.462439024,0.699238579
28,29,adamax,binary_crossentropy,0.15,64,30,0.532682927,0.467317073,0.63011583
29,30,sgd,hinge,0.2,64,30,0.537560976,0.462439024,0.699238579
30,31,adam,hinge,0.05,64,30,0.530731707,0.469268293,0.614274258
31,32,adagrad,hinge,0.05,64,30,0.537560976,0.462439024,0.699238579
32,33,adamax,binary_crossentropy,0.2,64,30,0.514146341,0.485853659,0.578680203
33,34,sgd,mae,0.05,32,20,0.537560976,0.462439024,0.699238579
34,35,adam,mae,0.1,32,20,0.532682927,0.467317073,0.598491199
35,36,adagrad,mae,0.05,32,20,0.537560976,0.462439024,0.699238579
36,37,adamax,binary_focal_crossentropy,0.1,32,20,0.505365854,0.494634146,0.611494253
37,38,sgd,binary_focal_crossentropy,0.1,32,20,0.536585366,0.463414634,0.611610793
38,39,adam,binary_focal_crossentropy,0.15,32,20,0.473170732,0.526829268,0.512635379
39,40,adagrad,mae,0.1,32,20,0.537560976,0.462439024,0.699238579
40,41,adamax,binary_focal_crossentropy,0.15,32,20,0.515121951,0.484878049,0.506454816
41,42,sgd,binary_crossentropy,0.15,32,20,0.570731707,0.429268293,0.538784067
42,43,adam,binary_crossentropy,0.2,32,20,0.512195122,0.487804878,0.509803922
43,44,adagrad,hinge,0.2,32,20,0.537560976,0.462439024,0.699238579
44,45,adamax,binary_crossentropy,0.15,32,20,0.483902439,0.516097561,0.506069094
45,46,sgd,hinge,0.2,32,20,0.536585366,0.463414634,0.698029243
46,47,adam,hinge,0.05,32,20,0.51804878,0.48195122,0.586264657
47,48,adagrad,hinge,0.05,32,20,0.537560976,0.462439024,0.699238579
48,49,adamax,binary_crossentropy,0.2,32,20,0.463414634,0.536585366,0.452191235
49,50,sgd,mae,0.05,32,30,0.537560976,0.462439024,0.699238579
50,51,adam,mae,0.1,32,30,0.546341463,0.453658537,0.622258327
51,52,adagrad,mae,0.05,32,30,0.537560976,0.462439024,0.699238579
52,53,adamax,binary_focal_crossentropy,0.1,32,30,0.522926829,0.477073171,0.592839301
53,54,sgd,binary_focal_crossentropy,0.1,32,30,0.494634146,0.505365854,0.5
54,55,adam,binary_focal_crossentropy,0.15,32,30,0.477073171,0.522926829,0.544217687
55,56,adagrad,mae,0.1,32,30,0.535609756,0.464390244,0.694480103
56,57,adamax,binary_focal_crossentropy,0.15,32,30,0.549268293,0.450731707,0.541666667
57,58,sgd,binary_crossentropy,0.15,32,30,0.555121951,0.444878049,0.608247423
58,59,adam,binary_crossentropy,0.2,32,30,0.485853659,0.514146341,0.460593654
59,60,adagrad,hinge,0.2,32,30,0.537560976,0.462439024,0.699238579
60,61,adamax,binary_crossentropy,0.15,32,30,0.52,0.48,0.571428571
61,62,sgd,hinge,0.2,32,30,0.537560976,0.462439024,0.699238579
62,63,adam,hinge,0.05,32,30,0.510243902,0.489756098,0.596463023
63,64,adagrad,hinge,0.05,32,30,0.537560976,0.462439024,0.699238579
64,65,adamax,binary_crossentropy,0.2,32,30,0.537560976,0.462439024,0.576785714
